ActividadId;RutaImagen;Instruccion
1;Imagenes/nivel1/n1a1/instruccion1;Tus Materiales: Botella de plástico, maíz (o granos), tubo de cartón, cinta, pegante, tijeras y listón decorativo.
1;Imagenes/nivel1/n1a1/instruccion2;Recorta la botella para quedarte solo con la parte de arriba y la base (descarta el centro).
1;Imagenes/nivel1/n1a1/instruccion3;Echa los granos en la base, encaja la parte de arriba y asegura la unión con mucha cinta.
1;Imagenes/nivel1/n1a1/instruccion4;Corta el tubo de cartón a lo largo, enróllalo para que sea más delgado y ponle cinta.
1;Imagenes/nivel1/n1a1/instruccion5;Mete el tubo en la parte inferior de la botella y asegúralo bien con cinta.
1;Imagenes/nivel1/n1a1/instruccion6;ˇDale estilo! Enrolla el listón y pega tus decoraciones favoritas.
2;Imagenes/nivel1/n1a2/instruccion1;Tus Materiales: un octavo de cartulina, tres hojas iris, tijeras, colbón y colores o marcadores
2;Imagenes/nivel1/n1a2/instruccion2;Recorta una tira de cartulina de 12 cm de ancho x 36 cm de alto, un rectángulo de 22 cm de ancho x 36 cm de alto, una tira de papel iris de 14 cm de ancho x 36 cm de alto, y por último dos de 25 cm de ancho x 12 cm de alto 
2;Imagenes/nivel1/n1a2/instruccion3;En forma de cilindro envuelve las tiras de 25 cm x 12 cm 
2;Imagenes/nivel1/n1a2/instruccion4;Pega la tira de 12 cm x 36 cm al rectángulo de 22 cm x 36 cm, hazlo a modo de curva
2;Imagenes/nivel1/n1a2/instruccion5;Luego de esto, pega uno de los cilindros sobre la tira (con la abertura hacia el frente )
2;Imagenes/nivel1/n1a2/instruccion6;Sobre este cilindro, pega la tira de 14 cm x 36 cm ˇEstos serán los brazos!
2;Imagenes/nivel1/n1a2/instruccion7;Ańade una carita expresiva al cilindro restante
2;Imagenes/nivel1/n1a2/instruccion8;Pega este cilindro sobre los brazos de nuestro equilibrista y ˇEstás listo para cruzar la cuerda floja!
3;Imagenes/nivel1/n1a3/instruccion1;Tus Materiales: Cartón, gancho de ropa, 2 palitos de helado, tapa de gaseosa, pelota de ping-pong, silicona y tijeras.
3;Imagenes/nivel1/n1a3/instruccion2;Pega un palito sobre el otro para que el brazo de tu catapulta sea súper fuerte.
3;Imagenes/nivel1/n1a3/instruccion3;Pega la tapa de gaseosa en un extremo de los palitos
3;Imagenes/nivel1/n1a3/instruccion4;Pega el gancho de ropa al otro extremo de los palitos (por la parte que se abre).
3;Imagenes/nivel1/n1a3/instruccion5;Crea la base: Recorta 3 cuadrados de cartón (10x10 cm).
3;Imagenes/nivel1/n1a3/instruccion6;Pega los cuadrados uno sobre otro para hacer una base pesada.
3;Imagenes/nivel1/n1a3/instruccion7;Pega la otra parte del gancho firmemente a tu base de cartón. Decora tu catapulta, pon la pelota en la tapa, presiona hacia abajo y... ˇmira cómo vuela!
4;Imagenes/nivel1/n1a4/instruccion1;Tus Materiales: Vaso de cartón, palito de madera, 40 cm de lana (o cordón), pelota de ping-pong, silicona, tijeras, témperas y marcadores.
4;Imagenes/nivel1/n1a4/instruccion2;Pega el palito de madera firmemente en la base exterior del vaso para que sea tu soporte.
4;Imagenes/nivel1/n1a4/instruccion3;Recorta un trozo de lana o cordón de unos 40 cm de largo.
4;Imagenes/nivel1/n1a4/instruccion4;Amarra un extremo de la lana al palito, justo donde se une con el vaso, con un nudo fuerte.
4;Imagenes/nivel1/n1a4/instruccion5;Pega el otro extremo de la lana a la pelota de ping-pong con un punto de silicona (pide ayuda a un adulto).
4;Imagenes/nivel1/n1a4/instruccion6;Pinta y decora tu vaso. Ahora intenta lanzar la pelota al aire y... ˇatrapala dentro del vaso!
5;Imagenes/nivel1/n1a5/instruccion1;Tus materiales: Dos vasitos de cartón o de yogurt vacío, un pitillo, tijeras, pegante o cinta, témperas y marcadores
5;Imagenes/nivel1/n1a5/instruccion2;Con ayuda de una regla marca ocho puntos en el vaso distribuidos equitativamente
5;Imagenes/nivel1/n1a5/instruccion3;Luego corta de manera recta por sobre cada uno de los puntos y deja tan solo cuatro a manera de pinza 
5;Imagenes/nivel1/n1a5/instruccion4;Con un lápiz o esfero haz un hueco en el centro de la pinza que acabas de cortar
5;Imagenes/nivel1/n1a5/instruccion5;Dobla las puntas de la pinza 
5;Imagenes/nivel1/n1a5/instruccion6;Corta el pitillo en cuatro trozos
5;Imagenes/nivel1/n1a5/instruccion7;Introduce el pitillo en el hueco que hiciste con el lápiz, estira las cuatro puntas del pitillo y pegalo
5;Imagenes/nivel1/n1a5/instruccion8;Toma el otro vaso, y con el lápiz abre un hueco en el centro del mismo
5;Imagenes/nivel1/n1a5/instruccion9;Ahora introduce el pitillo con la pinza en ese vaso
5;Imagenes/nivel1/n1a5/instruccion10;Decora a tu gusto ˇY a cuidar el planeta!
6;Imagenes/nivel1/n1a6/instruccion1;Tus materiales: Tijeras, témperas, un palito de pincho, una tapa de gaseosa, una caja de jugo vacía con su pitillo, dos palitos de paleta, pincel, marcadores, silicona fría, un trozo pequeńo de hilaza
6;Imagenes/nivel1/n1a6/instruccion2;Toma la caja de jugo, traza dos líneas más o menos como las de la imagen y cortala con cuidado
6;Imagenes/nivel1/n1a6/instruccion3;A los palitos de paleta hazle un hueco con ayuda de tu profe o un adulto responsable 
6;Imagenes/nivel1/n1a6/instruccion4;Pega las dos partes del jugo en caja con los palitos, la más grande será nuestro pozo y la más pequeńa el techo. Nota: Asegúrate de que al pegar no cubras los dos huequitos de los palitos de paleta
6;Imagenes/nivel1/n1a6/instruccion5;En los huequitos de los palitos de paleta atraviesa un trozo de aproximadamente 6 cm del palito de pincho 
6;Imagenes/nivel1/n1a6/instruccion6;Recorta el pitillo conservando la parte arrugada
6;Imagenes/nivel1/n1a6/instruccion7;Adhiere el trozo de pitillo al palito de pincho
6;Imagenes/nivel1/n1a6/instruccion8;Luego toma la tapita y pega los dos extremos del trozo pequeńo de hilaza
6;Imagenes/nivel1/n1a6/instruccion9;Amarra la hilaza al palito de pincho 
6;Imagenes/nivel1/n1a6/instruccion10;Decora a tu gusto ˇY devuelve el agua a tu comunidad!
7;Imagenes/nivel1/n1a7/instruccion1;Tus Materiales: Vaso de cartón, cartulina, 2 tapas de gaseosa, 1 caucho (banda elástica), silicona, cinta y tijeras.
7;Imagenes/nivel1/n1a7/instruccion2;Dibuja las orejitas de tu animal favorito en la cartulina dejando un pequeńo espacio abajo.
7;Imagenes/nivel1/n1a7/instruccion3;Recorta las orejas dejando un pequeńo espacio en la base para poder pegarlas.
7;Imagenes/nivel1/n1a7/instruccion4;Pega las orejas al vaso con silicona (ˇpide ayuda a un adulto para este paso!).
7;Imagenes/nivel1/n1a7/instruccion5;Une las dos tapas de gaseosa pegándolas entre sí con silicona. Ten mucho cuidado.
7;Imagenes/nivel1/n1a7/instruccion6;Con un poco de cinta, pega el caucho firmemente a las tapas que acabas de unir.
7;Imagenes/nivel1/n1a7/instruccion7;Seńala con un marcador cuatro puntos específicos a los lados del borde del vaso.
7;Imagenes/nivel1/n1a7/instruccion8;Recorta medio centímetro en esos puntos y dobla las pestańas hacia afuera.
7;Imagenes/nivel1/n1a7/instruccion9;Pon el caucho entre las pestańas, gira las tapas para darles cuerda y... ˇmira cómo corre tu animal!
8;Imagenes/nivel1/n1a8/instruccion1;Tus materiales: Una caja de jugo vacía, un trocito de cartulina, una hoja de papel iris, tijeras, cinta o pegante, un clip, marcadores y témperas
8;Imagenes/nivel1/n1a8/instruccion2;Con ayuda de una regla traza una línea con la forma que ves en la imagen en ambas caras de la caja
8;Imagenes/nivel1/n1a8/instruccion3;Recorta la caja 
8;Imagenes/nivel1/n1a8/instruccion4;Estira el clip hasta que quede una línea recta 
8;Imagenes/nivel1/n1a8/instruccion5;Con ayuda de un adulto responsable abre dos huecos en los extremos circulares que acabas de cortar 
8;Imagenes/nivel1/n1a8/instruccion6;Dobla el clip con la forma que ves en la imagen, si necesitas ayuda no dudes en solicitarla a un adulto 
8;Imagenes/nivel1/n1a8/instruccion7;Introduce las puntas del clip en los huecos que le hiciste a la caja de jugo
8;Imagenes/nivel1/n1a8/instruccion8;En la hoja iris dibuja tu caminante, personalizalo y recortalo
8;Imagenes/nivel1/n1a8/instruccion9;Recorta un pequeńo rectángulo de 6 cm x 4 cm 
8;Imagenes/nivel1/n1a8/instruccion10;Adhiere el trozo de  cartulina a la parte trasera del caminante
8;Imagenes/nivel1/n1a8/instruccion11;Pega el caminante al clip ˇY a recorrer el mundo!  Nota: Cuando pegues las piernas del caminante deja un vacío en la parte posterior para que pueda caminar
9;Imagenes/nivel1/n1a9/instruccion1;Tus Materiales: Vaso de cartón, cartulina, cartón rígido, palillo, lana, marcadores, pegante y tijeras.
9;Imagenes/nivel1/n1a9/instruccion2;Crea la figura de un pájaro en el cartón y píntalo con tus colores favoritos.
9;Imagenes/nivel1/n1a9/instruccion3;Usa las tijeras con cuidado para sacar la silueta de tu pájaro.
9;Imagenes/nivel1/n1a9/instruccion4;"Corta la punta de un palillo, píntala y prepárala; ˇeste será el pico!"
9;Imagenes/nivel1/n1a9/instruccion5;Pega el pico firmemente a la cabeza de tu pájaro.
9;Imagenes/nivel1/n1a9/instruccion6;Recorta dos tiras largas de cartulina (de 1 cm de ancho aproximadamente).
9;Imagenes/nivel1/n1a9/instruccion7;Pega las puntas de las tiras y empieza a pasar una encima de otra (como un tejido).
9;Imagenes/nivel1/n1a9/instruccion8;"Al terminar, pega el extremo; debe quedarte un resorte de papel tipo acordeón."
9;Imagenes/nivel1/n1a9/instruccion9;Pega un extremo del acordeón en la parte lateral del vaso de cartón.
9;Imagenes/nivel1/n1a9/instruccion10;Pega un trozo de lana en la parte de adelante de tu pájaro.
9;Imagenes/nivel1/n1a9/instruccion11;Abre un pequeńo agujero en el vaso y pasa la lana por ahí hacia adentro.
9;Imagenes/nivel1/n1a9/instruccion12;Pega el pájaro al frente del acordeón. ˇJala la lana desde adentro del vaso y mira cómo pica!
10;Imagenes/nivel1/n1a10/instruccion1;Tus materiales: Hoja iris, blanca o reciclada, tijeras, marcadores, 5 copitos, un pitillo de jugo, silicona, tapa de gaseosa, plastilina
10;Imagenes/nivel1/n1a10/instruccion2;Con ayuda de la tapa haz dos círculos en la hoja 
10;Imagenes/nivel1/n1a10/instruccion3;Colorea los círculos a tu gusto
10;Imagenes/nivel1/n1a10/instruccion4;Recorta los círculos
10;Imagenes/nivel1/n1a10/instruccion5;Abre dos huecos en los círculos que recortaste 
10;Imagenes/nivel1/n1a10/instruccion6;Con ayuda de un adulto corta los copitos a la mitad. Nota: Conserva dos copitos para más adelante
10;Imagenes/nivel1/n1a10/instruccion7;Pega los copitos alrededor del círculo sin tapar el hueco que hicimos en el centro 
10;Imagenes/nivel1/n1a10/instruccion8;Una vez pegados los copitos, pega sobre ellos el otro círculo que recortamos 
10;Imagenes/nivel1/n1a10/instruccion9;Pinta los copitos a tu gusto 
10;Imagenes/nivel1/n1a10/instruccion10;Rellena la tapa de gaseosa con la plastilina hasta que quede firme 
10;Imagenes/nivel1/n1a10/instruccion11;Corta un pequeńo trozo de pitillo, un pequeńo trozo del palito del copito y reune los dos copitos que conservaste 
10;Imagenes/nivel1/n1a10/instruccion12;En el hueco del centro de los círculos introduce y pega el pitillo, dentro del pitillo introduce el pequeńo trozo de palito del paso anterior
10;Imagenes/nivel1/n1a10/instruccion13;Pega los dos copitos al pequeńo trozo de palito, uno a cada lado 
10;Imagenes/nivel1/n1a10/instruccion14;Introduce los copitos en la tapa con plastilina ˇY a girar la rueda!
11;Imagenes/nivel2/n2a1/instruccion1;Antes de empezar: Sal a la naturaleza y recolecta piedras de diferentes tamańos (unas muy pequeńas y otras más grandes).
11;Imagenes/nivel2/n2a1/instruccion2;Tus Materiales: Botella de plástico con tapa, algodón, tijeras y tus piedras recolectadas.
11;Imagenes/nivel2/n2a1/instruccion3;Dibuja una línea alrededor de la botella como se ve en la imagen para saber por dónde cortar.
11;Imagenes/nivel2/n2a1/instruccion4;Recorta la botella por las línesa que marcaste para dividirla.
11;Imagenes/nivel2/n2a1/instruccion5;Con ayuda de un adulto, abre varios huequitos pequeńos en la tapa de la botella.
11;Imagenes/nivel2/n2a1/instruccion6;Ponle la tapa con los huequitos de nuevo a la botella.
11;Imagenes/nivel2/n2a1/instruccion7;Echa el algodón dentro de la botella, empujándolo hasta que quede cerca del pico.
11;Imagenes/nivel2/n2a1/instruccion8;"Pon la parte del pico boca abajo dentro de la base de la botella; así, el agua filtrada caerá abajo."
11;Imagenes/nivel2/n2a1/instruccion9;Echa las piedras más chiquitas sobre el algodón.
11;Imagenes/nivel2/n2a1/instruccion10;Echa las piedras más grandes encima de las pequeńas.
11;Imagenes/nivel2/n2a1/instruccion11;Echa agua sucia en tu filtro y espera con paciencia.
11;Imagenes/nivel2/n2a1/instruccion12;Mira cómo cae el agua más limpia. ˇSi quieres, pásala varias veces para que salga cada vez más clara!
12;Imagenes/nivel2/n2a2/instruccion1;Tus materiales: Pegante, temperas, tapas de gaseosa, un trozo de palito de pincho, tijeras, cajita de jugo vacía, marcadores, pincel, hoja iris
12;Imagenes/nivel2/n2a2/instruccion2;Corta la caja con la forma que ves en la imagen 
12;Imagenes/nivel2/n2a2/instruccion3;Con ayuda de un adulto abre un hueco en el centro de cada una de las tapas 
12;Imagenes/nivel2/n2a2/instruccion4;Abre dos huecos en las puntas triangulares de la caja 
12;Imagenes/nivel2/n2a2/instruccion5;En el hueco de la caja y de las tapas introduce el trozo de palito de pincho. Nota: Con un poco de silicona asegura las tapas al palito 
12;Imagenes/nivel2/n2a2/instruccion6;Corta un trozo de papel iris de 5cm x 8cm
12;Imagenes/nivel2/n2a2/instruccion7;Pega el papel en el palito de pincho
12;Imagenes/nivel2/n2a2/instruccion8;Corta el papel para que parezca una escoba, rueda el carrito ˇY recolecta pequeńos residuos!
13;Imagenes/nivel2/n2a3/instruccion1;Tus materiales: un trozo grande de cartón, palitos de pincho, una tapa, cauchitos, silicona, témperas, regla
13;Imagenes/nivel2/n2a3/instruccion2;Toma la regla y mide 30cm x 4cm, recorta dos trozos de ese tamańo
13;Imagenes/nivel2/n2a3/instruccion3;Luego haz lo mismo, pero con medidas de 20cm x 4cm
13;Imagenes/nivel2/n2a3/instruccion4;Pega con ayuda de silicona  los trozos que recortaste anteriormente del mismo tamańo y luego en forma de cruz pega el trozo de 20 cm al de 30 cm 
13;Imagenes/nivel2/n2a3/instruccion5;Haz cuatro orificios más o menos a la altura que ves en la imagen  e introduce 3 palitos de aproximadamente 5 cm en las ubicaciones que ves en la imagen 
13;Imagenes/nivel2/n2a3/instruccion6;Toma la tapa de gaseosa, dibuja cuatro círculos y luego recórtalos
13;Imagenes/nivel2/n2a3/instruccion7;Con ayuda de un lápiz hazle huequitos como los que ves en la imagen
13;Imagenes/nivel2/n2a3/instruccion8;En uno de los círculos con dos orificios introduce el palito de pincho en el que se encuentra ubicado en el centro y pegalo
13;Imagenes/nivel2/n2a3/instruccion9;Luego en el otro huequito pon un trozo de palito de 5cm y pegalo
13;Imagenes/nivel2/n2a3/instruccion10;Esa nueva estructura ponla en el único hueco que quedó vacío tal y como se ve en la imagen
13;Imagenes/nivel2/n2a3/instruccion11;Con ayuda de un adulto abre un orificio en la tapa de gaseosa 
13;Imagenes/nivel2/n2a3/instruccion12;Dibuja tres aspas en el cartón y recortalas
13;Imagenes/nivel2/n2a3/instruccion13;Luego con ayuda de silicona pegalas a la tapa
13;Imagenes/nivel2/n2a3/instruccion14;En el huequito de la tapa introduce el palito de pincho de la estructura que ya teníamos 
13;Imagenes/nivel2/n2a3/instruccion15;Con la regla mide un trozo de cartón de 20cm x 15cm, dibuja un pequeńo triángulo y recortalo 
13;Imagenes/nivel2/n2a3/instruccion16;Pega la turbina al cartón de 20 cm x 15cm y pega el triángulo tanto a la base como a la estructura, esto nos servirá para sostenerlo 
13;Imagenes/nivel2/n2a3/instruccion17;Usa los cauchos para posicionarlos en la forma que ves en la imagen, gira la turbina ˇY ahora generamos energía limpia!
14;Imagenes/nivel2/n2a4/instruccion1;Tus materiales: Dos botellas pequeńas de plástico, seis tapas de gaseosa, un palito de pincho, tijeras, silicona, témperas, un cauchito 
14;Imagenes/nivel2/n2a4/instruccion2;Con ayuda de un adulto abre cuatro orificios a la altura que ves en la imagen 
14;Imagenes/nivel2/n2a4/instruccion3;También pide ayuda para abrir cuatro orificios a las tapas de gaseosa
14;Imagenes/nivel2/n2a4/instruccion4;Corta dos palitos de pincho, pasalos por los orificios y pon las tapas
14;Imagenes/nivel2/n2a4/instruccion5;Ahora con cuidado corta el cuello de la botella y corta en forma de aspa 
14;Imagenes/nivel2/n2a4/instruccion6;Pasa el caucho por el huequito de una de las tapas y atraviesa un trozo de palito para que no se salga 
14;Imagenes/nivel2/n2a4/instruccion7;Abre otro huequito en la parte trasera de la botella 
14;Imagenes/nivel2/n2a4/instruccion8; Ahora pasa el caucho por el huequito de la parte trasera de la botella estiralo hasta la boca de la botella y con ayuda de la tapa prensalo 
14;Imagenes/nivel2/n2a4/instruccion9;Decora a tu gusto, gira el aspa ˇY a competir!
15;Imagenes/nivel2/n2a5/instruccion1;Tus materiales: hilaza, plastilina, dos palitos de paleta, un copito, dos tapas de gaseosa, un vasito de café o de yogurt vacío
15;Imagenes/nivel2/n2a5/instruccion2;Toma los dos palitos de paleta y marca  tres huequitos como los de la imagen 
15;Imagenes/nivel2/n2a5/instruccion3;Con ayuda de un adulto responsable abre los huequitos que marcaste
15;Imagenes/nivel2/n2a5/instruccion4;Corta el vasito a la mitad y rellenalo con la plastilina
15;Imagenes/nivel2/n2a5/instruccion5;Giralo y en la mitad, con ayuda de las tijeras abre un huequito como el de la foto 
15;Imagenes/nivel2/n2a5/instruccion6;Parte el copito a la mitad, junta los palitos de paleta como se ve en la imagen y pon esa estructura en en el vasito con plastilina 
15;Imagenes/nivel2/n2a5/instruccion7;Corta dos trozos de hilo de aproximadamente 5 cm y ponlos en los orificios laterales 
15;Imagenes/nivel2/n2a5/instruccion8;Con silicona, pega las tapas al hilo ˇY a medir!
16;Imagenes/nivel2/n2a6/instruccion1;Tus materiales: Hojas, cartón, silicona, colores, palitos de pincho, colbón, temperas 
16;Imagenes/nivel2/n2a6/instruccion2;Toma un trozo de cartón y cortalo con una medida de 20cm x 15cm 
16;Imagenes/nivel2/n2a6/instruccion3;Luego dibuja un cuadrado como se ve en la imagen y recortalo
16;Imagenes/nivel2/n2a6/instruccion4;Corta cuatro trozos de cartón con una medida de 20 cm x 5cm y a dos de ellos hazle dos orificios con ayuda de un lápiz como se ve en la imagen . Nota: Estos trocitos deben ir pegados a los lados de nuestro televisor
16;Imagenes/nivel2/n2a6/instruccion5;Pega todos los trozos de cartón para que te quede de la siguiente forma
16;Imagenes/nivel2/n2a6/instruccion6;En hojas de papel dibuja todo lo que tu quieras, pega todos los dibujos y luego enrrolla a los palitos de pincho tal y como se ve en la imagen 
16;Imagenes/nivel2/n2a6/instruccion7;Introduce los palitos con el dibujo ya pegado en los orificios que hiciste a los lados del tele 
16;Imagenes/nivel2/n2a6/instruccion8;Con un lápiz dibuja las siguientes figuras en el cartón y recortalas 
16;Imagenes/nivel2/n2a6/instruccion9;Pegalas al televisor con la forma en que se ve en la imagen
16;Imagenes/nivel2/n2a6/instruccion10;Decora a tu gusto ˇY ya tienes tu propio televisor reciclado!
17;Imagenes/nivel2/n2a7/instruccion1;Tus materiales: Dos trozos de palo de balso grueso de 14 y 16 cm, hoja de papel, un par de imanes, hilaza, un palito de paleta, colores y silicona
17;Imagenes/nivel2/n2a7/instruccion2;Toma los dos palos de balso y pegalos con ayuda de un adulto en la forma que se ve en la imagen 
17;Imagenes/nivel2/n2a7/instruccion3;Toma el palito de paleta y pegalo al palito de 16 cm 
17;Imagenes/nivel2/n2a7/instruccion4;Al palito de paleta pegale uno de los imanes. Nota: Ten en cuenta el lado por el cual se imanta, este debe ir hacia abajo 
17;Imagenes/nivel2/n2a7/instruccion5;Corta un trozo de hilaza de aproximadamente 10 cm 
17;Imagenes/nivel2/n2a7/instruccion6;Toma la hoja y arma tu mejor avión de papel 
17;Imagenes/nivel2/n2a7/instruccion7;Al avión de papel pega el iman y el trozo de hilaza tanto al avión como al palo de balso. Nota: Trata de que los imanes queden más o menos a un dedo de distancia para que el avión permanezca flotando
17;Imagenes/nivel2/n2a7/instruccion8;Decora tu plataforma y avión ˇY a volar!
18;Imagenes/nivel2/n2a8/instruccion1;Tus materiales: Una hoja de papel, colores,lápiz, 15 cm de alambre de cobre, tijeras, una pila AA, 4 imanes de neodimio 
18;Imagenes/nivel2/n2a8/instruccion2;Toma tu alambre de cobre y con ayuda de unas pinzas y un adulto doblalo como se ve en la imagen 
18;Imagenes/nivel2/n2a8/instruccion3;En un trozo de papel dibuja tu bailarina o bailarín, dale color y recortalo
18;Imagenes/nivel2/n2a8/instruccion4;Luego pon tu dibujo en la curva del alambre 
18;Imagenes/nivel2/n2a8/instruccion5;Toma la pila del lado negativo pega los imanes 
18;Imagenes/nivel2/n2a8/instruccion6;Encaja el alambre a la pila de la forma que se ve en la imagen, dale un momento ˇY a bailar!
19;Imagenes/nivel2/n2a9/instruccion1;Tus materiales: Un trozo grande de cartón, un octavo de cartulina, hilaza, cuatro tapas de gaseosa, un portabaterías AA, un interruptor, un motorreductor de 60 rpm, una batería AA, un palito de pincho, silicona 
19;Imagenes/nivel2/n2a9/instruccion2;Con ayuda de un adulto abre un orificio a una de las tapas de gaseosa
19;Imagenes/nivel2/n2a9/instruccion3;Corta un trozo de palito de pincho e introducelo en el orificio de la tapa
19;Imagenes/nivel2/n2a9/instruccion4;Corta dos tiras de cartulina de 12cm x 34 cm
19;Imagenes/nivel2/n2a9/instruccion5;Corta un trozo de cartón de 26 cm x 18 cm 
19;Imagenes/nivel2/n2a9/instruccion6;A los conectores del motorreductor ponle dos cables de cobre de más o menos 12 cm 
19;Imagenes/nivel2/n2a9/instruccion7;Pega el motorreductor a una esquina de una tira de cartulina 
19;Imagenes/nivel2/n2a9/instruccion8;Enrolla el motor en la cartulina dejando el eje por fuera. Nota: El eje es el palito que sobresale del motor 
19;Imagenes/nivel2/n2a9/instruccion9;Toma la otra tira de cartulina enrollala, en la base pega la tapa que no tiene orificio y en la parte superior la tapa con el palito
19;Imagenes/nivel2/n2a9/instruccion10;Toma una tapa grande o un compás, dibuja cuatro circulos grandes, cuatro medianos y recórtalos 
19;Imagenes/nivel2/n2a9/instruccion11;Pega un círculo grande, los dos medianos y el otro grande a manera de sandwich, deben salirte dos piezas. Nota: Con un lápiz haz dos orificios en el centro de estas dos estructuras 
19;Imagenes/nivel2/n2a9/instruccion12;Pega la columna del motorreductor y la de la tapa con el palito a la base de cartón de 26cm x 18cm 
19;Imagenes/nivel2/n2a9/instruccion13;Introduce los círculos con los orificios uno en el palito y el otro en el eje del motor 
19;Imagenes/nivel2/n2a9/instruccion14;Toma dos tapas de gaseosa y pegales un trozo de alambre como se ve en la imagen 
19;Imagenes/nivel2/n2a9/instruccion15;A uno de los cables del motor conecta un cable del portapilas, el otro cable del portapilas conectalo al interruptor y el otro cable del motor conectalo a el pin restante del interruptor 
19;Imagenes/nivel2/n2a9/instruccion16;Por un trozo de hilaza en el centro de los círculos de cartón, cuelga tus tapas , decoralo, enciéndelo ˇY estás listo para el viaje!
20;Imagenes/nivel2/n2a10/instruccion1;Tus materiales: Una pila de 9 voltios, un conector, un interruptor, una bomba de vacío, una jeringa pequeńa, un kit de goteo, palo de balso, dos palitos de pincho, palitos de paleta y un trozo de cartón 
20;Imagenes/nivel2/n2a10/instruccion2;Toma cuatro palitos de paleta y marca los puntos más o menos a la altura que ves  en la imagen 
20;Imagenes/nivel2/n2a10/instruccion3;Con ayuda de un adulto abre los orificios en el palito de paleta
20;Imagenes/nivel2/n2a10/instruccion4;Corta cuatro trozos del palo de balso y abre un espacio como el de la foto 
20;Imagenes/nivel2/n2a10/instruccion5;Toma el palito de pincho, corta 5 trozos de la medida de un palito de paleta e introducelos en los orificios tal como ves en la imagen 
20;Imagenes/nivel2/n2a10/instruccion6;Toma la jeringa y con ayuda de un adulto abre un orificio en el embolo 
20;Imagenes/nivel2/n2a10/instruccion7;Toma la jeringa y ponla en el primer palito de la estructura atravesando por el orificio que hicimos en el paso anterior
20;Imagenes/nivel2/n2a10/instruccion8;Crea una plataforma pegando palitos de paleta
20;Imagenes/nivel2/n2a10/instruccion9;Pega la plataforma a la estructura, la estructura y la jeringa  al trozo de cartón 
20;Imagenes/nivel2/n2a10/instruccion10;Toma el kit de goteo, corta un trozo de maguera y pon un extremo en la jeringa y otro extremo en válvula de la bomba de vacío. Así mismo, conecta un extremo de la bomba a un extremo del conector de la batería, el otro extremo a un pin del interruptor y el otro extremo del portabaterías al pin restante del interruptor. Decora, enciende ˇY eleva tu creatividad!
