ActividadId;Nivel;NumeroPregunta;Enunciado;Opcion1;Opcion2;Opcion3;RespuestaCorrecta
1;1;1;¿Cuál fue la causa principal de la tristeza en Pueblo Sonoro al inicio de la historia?;Se prohibió el gran festival de música reciclada;Los pájaros dejaron de silbar sus melodías;Los instrumentos musicales desaparecieron por completo;Los instrumentos musicales desaparecieron por completo
1;1;2;Según la profesora Tono-fonia, ¿qué es lo que ocurre cuando algo choca o se mueve rápidamente?;Se produce una vibración;El objeto cambia de color;El sonido desaparece instantáneamente;Se produce una vibración
1;1;3;¿Cómo viaja el sonido por el aire para llegar a nuestros oidos?;Únicamente a través de tubos de cartón;Como una línea recta de luz;Como una ola invisible;Como una ola invisible
2;1;1;¿Qué aprendió Tito para no caerse de la cuerda floja?;Que hay que cerrar los ojos;Que lo más pesado debe quedar abajo;Que hay que saltar muy alto;Que lo más pesado debe quedar abajo
2;1;2;¿Qué materiales usaron los niños para construir al acróbata de papel?;Plastilina y palos;Papel iris, cartulina, tijeras y pegante;Botellas y cinta adhesiva;Papel iris, cartulina, tijeras y pegante
2;1;3;¿Qué parte del cuerpo del acróbata de papel ayuda a que tenga más equilibrio?;Los brazos abiertos;La cabeza muy grande;La nariz puntiaguda;Los brazos abiertos
3;1;1;¿Qué problema tenían los amigos para cruzar el río?;Que el río estaba seco;Que no sabían nadar;Que sus barcos eran muy pequeños para cargar todos los objetos;Que sus barcos eran muy pequeños para cargar todos los objetos
3;1;2;¿Qué máquina usaron los niños para lanzar los objetos a la otra orilla?;Una catapulta;Una grúa;Un avión;Una catapulta
3;1;3;¿Qué hicieron los niños cuando el objeto no llegaba muy lejos?;Se rindieron y se fueron a casa;Probaron varias veces y ajustaron la catapulta;Llamaron a su abuelita para que los ayudara;Probaron varias veces y ajustaron la catapulta
4;1;1;¿Qué fuerza siempre jala la pelota hacia abajo?;La fuerza del viento;La gravedad;La fuerza de los pies;La gravedad
4;1;2;¿Qué debe hacer el niño o la niña para atrapar la pelota dentro del vaso?;Cerrar los ojos y esperar;Patear la pelota muy lejos;Mover el vaso rápido y con precisión;Mover el vaso rápido y con precisión
4;1;3;¿Qué le pasó a Valentina después de practicar muchas veces?;Se aburrió y dejó de jugar;Olvidó cómo se jugaba;Mejoró su coordinación y logró atrapar la pelota;Mejoró su coordinación y logró atrapar la pelota
5;1;1;¿Qué problema tenía la ciudad de Limpilandia?;Que había basuritas escondidas en rincones difíciles de alcanzar;Que no había luz en las calles;Que los niños no querían ir a la escuela;Que había basuritas escondidas en rincones difíciles de alcanzar
5;1;2;¿Qué necesitaba la herramienta para atrapar los residuos?;Ser muy pesada y grande;Hacer mucho ruido;Poder entrar en lugares angostos y atrapar sin que se cayeran;Poder entrar en lugares angostos y atrapar sin que se cayeran
5;1;3;¿Qué aprendieron los niños al final de la historia?;Que ensuciar la ciudad está bien;Que las herramientas no sirven para nada;Que con creatividad e ingeniería se pueden ayudar al planeta;Que con creatividad e ingeniería se pueden ayudar al planeta
6;1;1;¿Qué problema tenía el pueblo de Valle Seco?;Que había demasiada agua;Que sacar agua del subsuelo era muy difícil;Que los niños no querían jugar;Que sacar agua del subsuelo era muy difícil
6;1;2;¿Qué máquina simple usaron los niños para levantar el agua con menos esfuerzo?;Una catapulta;Un vaso recogedor;Un pozo con polea;Un pozo con polea
6;1;3;¿Qué hace la polea cuando giramos el cilindro?;La cuerda se enrolla y el balde sube con menos esfuerzo;La cuerda se corta sola;El balde se llena de aire;La cuerda se enrolla y el balde sube con menos esfuerzo
7;1;1;¿Qué problema tenía el pueblo de Corre Rápido?;Que llovía demasiado;Que no tenían combustible para enviar mensajes;Que los niños no querían jugar;Que no tenían combustible para enviar mensajes
7;1;2;¿Qué pasa cuando giras muchas veces la banda elástica del vehículo?;Se rompe la banda y no funciona;El vehículo no se mueve;Se guarda más energía y el vehículo llega más lejos;Se guarda más energía y el vehículo llega más lejos
7;1;3;¿Cómo se llama la energía que se guarda al estirar o girar un caucho?;Energía solar;Energía de agua;Energía elástica ;Energía elástica 
8;1;1;¿Cómo quería Mateo recorrer el mundo?;Caminando;En barco;En avión;Caminando
8;1;2;¿Qué hacía el pequeño mecanismo que construyeron los niños?;Volaba como un pájaro;Imitaba el movimiento de caminar;Sonaba como una campana;Imitaba el movimiento de caminar
8;1;3;¿Dónde guardó Mateo al caminante?;En su maleta;En un cofre de tesoros;No lo guardó;En su maleta
9;1;1;¿Qué actividad realizaba el pájaro carpintero Tico durante el día?;Nadar en un río para atrapar peces;Picotear los troncos de los árboles;Volar en círculos sobre el valle;Picotear los troncos de los árboles
9;1;2;¿Qué construyeron los niños al final de la historia para recordar al pájaro carpintero?;Una jaula de madera para tenerlo como mascota;Un dibujo del pájaro en una hoja de papel;Un mecanismo que imitaba su movimiento de picoteo;Un mecanismo que imitaba su movimiento de picoteo
9;1;3;¿Cómo lograban los niños que la figura del pájaro carpintero se moviera?;Con un motor eléctrico conectado a una batería;Soplando fuerte sobre la figura;Aplicando una fuerza suave a un hilo;Aplicando una fuerza suave a un hilo
10;1;1;"¿Cómo giraba la rueda de la fortuna antigua del parque ""Nubes Felices""?";Giraba tan despacio que los niños se aburrían;Giraba muy rápido y los niños se mareaban;No giraba porque estaba completamente rota;Giraba tan despacio que los niños se aburrían
10;1;2;¿Qué parte de la rueda de la fortuna era la más importante para que girara sin tambalearse?;El eje central;Las canastillas colgantes;Las escaleras de subida;El eje central
10;1;3;¿Cómo hicieron girar los niños la nueva rueda de la fortuna que construyeron?;Con un motor eléctrico conectado a una batería;Empujando con las manos muy fuerte;Soplándole suavemente;Soplándole suavemente
11;2;1;¿Por qué el agua que sale del filtro casero NO es apta para beber inmediatamente?;Porque el filtro tarda mucho tiempo en procesar el agua;Porque el filtro solo elimina partículas sólidas visibles, pero no bacterias ni microorganismos;Porque las piedras y la arena le dan mal sabor al agua;Porque el filtro solo elimina partículas sólidas visibles, pero no bacterias ni microorganismos
11;2;2;¿Cómo salió el agua después de pasar por el filtro?;Más sucia que antes;Más limpia (sin tierra ni hojas);De color rojo;Más limpia (sin tierra ni hojas)
11;2;3;¿Qué función cumplen las piedras en el filtro casero?;Ayudan a atrapar las hojas grandes y partículas sólidas del agua sucia;Endulzan el agua para que sepa mejor;Sirven para decorar el filtro y que se vea bonito;Ayudan a atrapar las hojas grandes y partículas sólidas del agua sucia
12;2;1;¿Qué problema tenía Villa Desordenada?;Que no había agua;Que había mucha basura en las calles;Que no tenían luz;Que había mucha basura en las calles
12;2;2;¿Cómo funcionaba el tractor ecológico que construyeron?;Funcionaba con gasolina;Funcionaba con electricidad de un motor;Funcionaba con la fuerza de las manos que lo empujaban;Funcionaba con la fuerza de las manos que lo empujaban
12;2;3;¿Qué materiales usaron los estudiantes para construir el tractor ecológico?;Materiales nuevos comprados en una tienda;Materiales reciclados;Materiales de metal pesado;Materiales reciclados
13;2;1;¿Qué problema tenía la vereda La Colina Sin Luz?;Que se quedaron sin luz eléctrica;Que no tenían agua para beber;Que había mucho viento y no podían salir;Que se quedaron sin luz eléctrica
13;2;2;¿Qué hace la turbina eólica para generar energía?;Usa el sol para calentar el agua;Usa gasolina para mover un motor;Usa el viento para generar energía limpia;Usa el viento para generar energía limpia
13;2;3;¿Cómo deben estar las aspas de la turbina eólica para que funcione correctamente?;Quietas y sin moverse;Apuntando siempre hacia el suelo;Girando con la fuerza del viento;Girando con la fuerza del viento
14;2;1;¿Qué inventó el ser humano para mover cosas pesadas con menos esfuerzo?;La catapulta;La rueda con eje;El filtro de agua;La rueda con eje
14;2;2;¿Cómo transportaban las cargas las personas antes de inventar la rueda?;Las arrastraban por el suelo y se cansaban mucho;Las cargaban volando con cometas;Usaban caballos para todo sin esfuerzo;Las arrastraban por el suelo y se cansaban mucho
14;2;3;¿Cuál de las siguientes afirmaciones sobre la rueda es correcta?;Mover cosas con ruedas es igual de difícil que arrastrarlas;La rueda solo sirve para decorar vehículos, pero no facilita el movimiento;La rueda reduce el esfuerzo porque el objeto rueda en lugar de arrastrarse;La rueda reduce el esfuerzo porque el objeto rueda en lugar de arrastrarse
15;2;1;¿Para qué usaban la balanza las personas del mercado antiguo?;Para decorar sus puestos;Para comparar el peso de los objetos y hacer intercambios justos;Para jugar a las escondidas;Para comparar el peso de los objetos y hacer intercambios justos
15;2;2;Si un lado de la balanza baja, ¿qué significa?;Que el objeto de ese lado es más liviano que el del otro lado;Que ambos objetos pesan exactamente igual;Que el objeto de ese lado es más pesado que el del otro lado;Que el objeto de ese lado es más pesado que el del otro lado
15;2;3;¿Para qué sirve la balanza?;Para medir la altura de las personas;Para comparar el peso o la masa de los objetos;Para medir la temperatura de los objetos;Para comparar el peso o la masa de los objetos
16;2;1;¿Qué permite hacer la televisión?;Ver imágenes en movimiento y recibir información;Cocinar alimentos;Lavar la ropa;Ver imágenes en movimiento y recibir información
16;2;2;¿Cómo era la televisión cuando se inventó por primera vez?;En blanco y negro, más grande y gruesa;A color y muy delgada como una tabla;Con pantalla táctil y conexión a internet;En blanco y negro, más grande y gruesa
16;2;3;¿Cuál de las siguientes afirmaciones sobre la televisión es correcta?;La televisión solo sirve para escuchar música;La televisión es una tecnología que sirve para comunicar información a muchas personas al mismo tiempo;La televisión se usa únicamente para jugar videojuegos;La televisión es una tecnología que sirve para comunicar información a muchas personas al mismo tiempo
17;2;1;¿Qué problema ocurrió en el hangar secreto del aeropuerto Estrella del Viento?;Se perdió un avión en la pista;Se acabó el combustible para los aviones;La plataforma magnética que mantenía suspendido al avión se averió;La plataforma magnética que mantenía suspendido al avión se averió
17;2;2;¿Qué fuerza invisible usaron los niños para mantener el avión suspendido sin que tocara el suelo?;La fuerza del viento;La fuerza de la gravedad;La fuerza magnética de atracción o repulsión;La fuerza magnética de atracción o repulsión
17;2;3;¿Qué sucedía cuando los niños acercaban demasiado los dos elementos magnéticos?;El avión saltaba hacia un lado;El avión se quedaba pegado a la base;El avión se partía en dos;El avión saltaba hacia un lado
18;2;1;¿Qué dos cosas se necesitan para que la bailarina pueda girar?;Agua y arena;Electricidad y magnetismo;Viento y sol;Electricidad y magnetismo
18;2;2;¿Cómo funciona el motor homopolar para que la bailarina gire?;La electricidad recorre un alambre y se encuentra con un imán;El agua caliente mueve una hélice;La luz del sol calienta el metal y lo expande;La electricidad recorre un alambre y se encuentra con un imán
18;2;3;¿Qué puede hacer la electricidad además de encender bombillas?;Solo cocinar alimentos;Solo cargar teléfonos;Generar movimiento (como en motores y la bailarina);Generar movimiento (como en motores y la bailarina)
19;2;1;¿Qué problema tenía la comunidad de Villa Nublada al inicio de la historia?;No tenían agua para beber;No tenían electricidad en sus casas;Los caminos eran peligrosos y no podían bajar medicinas ni alimentos rápidamente;Los caminos eran peligrosos y no podían bajar medicinas ni alimentos rápidamente
19;2;2;¿Qué elemento permitía que la cabina del teleférico se moviera por la cuerda?;Un molino de viento;Un motor que hacía girar una polea;Un grupo de personas tirando de una soga;Un motor que hacía girar una polea
19;2;3;¿Cómo supieron los niños que el teleférico estaba listo para usarse?;Después de varias pruebas ajustando la tensión y la velocidad;Cuando la cabina cayó al suelo;Cuando pintaron la cabina de colores;Después de varias pruebas ajustando la tensión y la velocidad
20;2;1;"¿Cómo funcionaba el elevador mecánico de la fábrica ""Ruedas Brillantes"" al inicio de la historia?";Estaba averiado y no funcionaba;Funcionaba perfectamente y sin problemas;Funcionaba solo los fines de semana;Estaba averiado y no funcionaba
20;2;2;¿Qué usaron los estudiantes para generar la fuerza que movía el elevador en el prototipo?;Un motor eléctrico común;Una microbomba conectada a una jeringa y manguera;Una cuerda tirada a mano;Una microbomba conectada a una jeringa y manguera
20;2;3;¿Cuál era la función del interruptor en el prototipo del elevador?;Encender una luz decorativa;Activar una alarma de seguridad;Controlar la microbomba para que el elevador subiera o bajara;Controlar la microbomba para que el elevador subiera o bajara
